accx,accy,accz,gyrx,gyry,gyrz
1.3721266,10.849680000000001,0.7097371,0.65769243,0.19540706,2.5035875
2.1679687999999997,11.758873,0.20030849,0.67685616,0.6590538,2.889532
3.3238127,13.740687,-0.3636505,0.7178539,1.2185365,3.0705228
3.8145187000000007,16.246008,-1.3278242,0.65503955,1.6736659999999999,3.1056564
3.3488178,16.30549,-1.4704517,0.4772603,1.7923832999999998,3.0327365
2.126463,13.604103,-0.37671328,0.37662458,1.7072113000000002,3.0055792
1.4157393999999999,11.0021515,0.32705754,0.37931240000000005,1.6135218999999998,3.0540295
1.4548223,9.007849,0.31414798,0.35800195,1.5224856000000002,3.071064
1.6990596000000002,7.4525369999999995,0.30562463,0.30531046,1.6779245999999999,2.9992087000000005
1.5793208,7.002446000000001,0.15366945,0.28401740000000003,2.0159599999999998,2.9475644
1.7420403000000002,7.327138000000001,-0.17444153,0.26433012,2.262418,2.8677156000000004
1.687395,7.744332300000001,-0.88833505,0.18126989999999998,2.2193084,2.6824662999999997
1.441999,7.957991000000001,-1.1558632,0.04925319,2.0143542,2.4807062
1.2582583,7.979989,-1.2086122,-0.0779464,1.7657671000000001,2.2619293
1.3201053,7.890857700000001,-0.992885,-0.13383184,1.4075034,1.9755381
1.2954164,7.949114,-0.6634237,-0.09869837,1.133888,1.6593368999999998
1.3896903999999999,8.698432,-0.4810813,-0.021537364,1.0865198,1.3452473999999999
1.2964698000000001,10.800292,-0.657036,0.03593633,1.1349527,1.0231993000000001
1.4197712,12.776112,-1.3075596999999999,0.06789331,1.0662915000000002,0.60533255
0.7976618000000001,12.71504,-1.5328828,0.042865288,0.7452905,0.068207465
-0.053486465999999996,11.246524,-0.8216709000000001,0.09077457,0.17198475,-0.35124752
0.09664913,10.610603,-0.16224068,0.2558129,-0.42952552,-0.7595324000000001
0.54763055,10.923708,-0.124690026,0.3665366,-0.7297570999999999,-1.1129965
0.41649532,11.258839,-0.29578924,0.312763,-0.6461906999999999,-1.3227327
0.42874405,12.753519,-0.36706942,0.29092893,-0.65842545,-1.4515553999999997
1.3640054,14.813348000000001,-0.70465183,0.46183157,-1.0331825000000001,-1.8129956999999999
1.9314983000000001,15.023366000000001,-0.9225721,0.5576327,-1.7001951000000002,-2.2692072
2.3202974999999997,14.075253,0.040643967999999996,0.5549798,-2.3102226000000003,-2.5279173999999998
2.737875,13.777472,0.13787729,0.41763982,-2.5524392000000002,-2.5939257000000002
3.0191362,12.975184,0.2188013,0.20046851,-2.6274884,-2.6088134999999997
3.118783,11.424719,0.39063793,0.04872959,-2.5343401,-2.6322532
3.5361114000000002,9.511656,0.59548587,-0.058241636,-2.427875,-2.6961322
4.1344129999999994,8.075853,1.232966,-0.11360348,-1.907802,-2.7307246
3.8247660000000003,7.55249,0.6966456,-0.25094345,-1.5878656,-2.6705806
3.8030267,7.613236,0.9705424000000001,-0.3552792,-1.4121983,-2.514077
4.266726,7.5413237,1.2547532,-0.40955895,-1.3083861,-2.4326223999999996
4.986326999999999,7.6975217,1.3051846999999999,-0.388807,-0.704729,-2.5098182999999996
4.604337,8.363961999999999,1.0467354,-0.36644933,-0.05529203,-2.4571095
3.9634477999999995,8.67628,1.120946,-0.3425034,0.22734658,-2.3149872000000005
3.6533604,8.5664625,1.2880614,-0.3302512,0.33700562,-2.0892813
2.6645644,8.631586,1.4287063,-0.3387684,0.28431413,-1.7581749
2.3378422000000003,8.142355,1.5172248,-0.36168459999999997,0.06764896,-1.4520965000000001
1.9200636000000002,8.81277,1.3133633,-0.31747538,-0.19156733,-1.0219601
2.2391531000000002,9.619941,1.142331,-0.29618236,-0.31880185,-0.64774406
1.8381243999999999,10.21965,1.0538031,-0.23975588,-0.36138788,-0.24637067
1.2439122,10.556543,1.2685821000000002,-0.086969756,-0.42952552,0.20450023
0.9182626,10.305123,1.4272411,0.10091494,-0.5780356,0.6686880000000001
1.2108723,10.107869,1.5458212,0.2994636,-0.662143,1.1062595
1.7807019,10.064132,1.3673382,0.40381682,-0.49127528,1.4735639999999999
2.4489908,11.280578,0.8112417,0.44905576,-0.0026005406,1.8435389
3.0933182,13.264835,-0.052940585,0.42828634,0.68727577,2.1400354
3.0527701,15.424098999999998,-0.666948,0.34578463,1.3510942,2.4242972999999997
2.366726,16.806501,-0.82822144,0.29309314,1.8030297999999998,2.6739666
1.7523928,16.316303,-0.41294232,0.24837779999999998,2.0047898,2.8288646
0.93693733,14.923442999999999,0.28914294,0.28988174,2.344937,2.9576874
0.65117496,12.546114999999999,0.8936405999999999,0.2462485,2.7777263999999997,2.9688573
-0.5537693,9.9671955,0.67666847,0.18715166,2.647839,3.1227080000000003
-0.9184254000000001,7.848969,1.0847648,0.21643828,2.1761987,3.4421034
0.27721983,6.4963408,0.6286695,0.23081979,2.0574813,3.5890253
1.8430947,6.048500499999999,-0.008063671,0.17917550000000002,1.8796846999999999,3.2717593
2.2979453,6.1363773,-0.87464976,0.007225663,1.4878931999999998,2.762315
2.033721,6.498705999999999,-1.0947726999999998,-0.14924310000000002,1.0630975,2.3774526000000002
2.0516872,6.8379645,-0.94921476,-0.18013543,0.8640078000000001,2.1288652000000003
2.372826,6.792551,-1.0184264,-0.19237019,0.8656135,1.7775306
2.2194345,6.8652105,-0.87404644,-0.26157248,1.0758733,1.3516527
1.8075743999999998,7.3687396,-0.74351454,-0.25092600000000004,1.2723101,0.9540144
1.6090664,8.4973,-0.8980555,-0.13913764,1.416038,0.5915095
1.5947969,10.5499735,-1.4751538,-0.028955012999999998,1.3973978999999999,0.18533652
1.4052143999999998,13.088776,-2.3940770000000002,-0.0017976891000000001,1.123259,-0.25806439999999997
0.9195267,13.940546,-2.734887,-0.03478441,0.5307721,-0.6796661
0.63431984,12.349877000000001,-2.002041,-0.0055152406000000005,-0.2533171,-1.0310009
0.9969169,10.544706,-0.9329245999999999,0.1254019,-0.94321084,-1.3684952
1.2265781999999998,9.873534,-0.5804406999999999,0.22495548,-1.3169031999999998,-1.6703324000000002
1.3412126,10.945055,-0.95823616,0.15522958,-1.4217801,-1.8667518
1.8819001,13.272564000000001,-1.7216703999999998,-0.08644616,-1.4931117,-2.0913932
2.4282757999999998,14.567606,-1.5229805,-0.26846653,-1.8093130000000002,-2.4810553
2.3683348,14.157326000000001,0.34024477,-0.07045894,-2.2138803,-2.8494246
1.2687354,14.353095999999999,1.3854479,0.20633282,-2.1452017000000003,-2.8930752
0.64157903,14.52316,1.4317422,0.21217968,-1.9471766,-2.6402295
0.32964328,13.233270000000001,1.6405357,0.094544485,-2.0557708999999997,-2.3336097999999996
0.7007253999999999,10.93723,1.9031221999999999,0.08868018,-2.214945,-2.1696537
1.5258439,9.246493,1.5042481,0.15522958,-2.3214102000000003,-2.1302442999999998
