Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2)
-0.620937467,-9.048757553,-2.230708838
-0.656829834,-9.03440094,-2.209173441
-0.640080035,-9.015258789,-2.206780672
-0.659222662,-8.967401505,-2.123031855
-0.69511497,-8.936295509,-2.053640127
-0.699900627,-8.941081047,-2.034497499
-0.66400826,-8.953044891,-2.015354872
-0.731007338,-8.943473816,-1.938784599
-0.728614509,-8.93390274,-1.900499344
-0.728614509,-8.931509972,-1.840678811
-0.745364249,-8.917152405,-1.821536183
-0.721436024,-8.943473816,-1.797608018
-0.728614509,-8.974580765,-1.788036704
-0.740578592,-9.00568676,-1.742573142
-0.704686284,-9.060722351,-1.77846539
-0.699900627,-9.06311512,-1.783251047
-0.668793917,-9.108578682,-1.811964989
-0.64725852,-9.122935295,-1.881356835
-0.625723124,-9.221040726,-1.931606054
-0.58265233,-9.302396774,-2.044068813
-0.563509762,-9.374481201,-2.101496458
-0.537188709,-9.446265221,-2.175673962
-0.518046081,-9.518050194,-2.247458696
-0.463011175,-9.587442398,-2.317149639
-0.403190613,-9.642477036,-2.393719912
-0.393619329,-9.673583984,-2.482254505
-0.36011982,-9.738189697,-2.499004126
-0.336191595,-9.800403595,-2.518146753
-0.357726991,-9.798010826,-2.477468729
-0.34337005,-9.826724052,-2.472683191
-0.31226337,-9.814760208,-2.477468729
-0.329013109,-9.814760208,-2.44396925
-0.381655216,-9.783653259,-2.391327143
-0.410369098,-9.728618622,-2.36500597
-0.40797627,-9.692726135,-2.343470573
-0.424726009,-9.637691498,-2.331506491
-0.427118838,-9.620942116,-2.280958176
-0.441475779,-9.620942116,-2.218744755
-0.451047063,-9.606584549,-2.163709879
-0.458225548,-9.577870369,-2.125424623
-0.43908295,-9.556335449,-2.094317913
-0.405583441,-9.534799576,-2.077568293
-0.427118838,-9.522835732,-2.034497499
-0.376869559,-9.496515274,-2.010569334
-0.3912265,-9.520442963,-2.012962103
-0.412761897,-9.530014038,-2.012962103
-0.3912265,-9.544371605,-2.048854351
-0.400797784,-9.573084831,-2.029711723
-0.417547554,-9.5754776,-2.024926186
-0.386440843,-9.611370087,-1.984248161
-0.386440843,-9.652048111,-2.024926186
-0.384048045,-9.71186924,-2.067996979
-0.36011982,-9.731011391,-2.101496458
-0.336191595,-9.786046028,-2.199602127
-0.297906429,-9.836296082,-2.286042929
-0.237786755,-9.862616539,-2.36500597
-0.180359006,-9.915258408,-2.408077002
-0.120538443,-9.956235886,-2.510968208
-0.02961118,-9.956235886,-2.594717026
0.042173497,-9.99691391,-2.601895571
0.121136643,-9.99691391,-2.647359133
0.171385929,-10.01605606,-2.683251381
0.197706968,-10.03041363,-2.73110795
0.283848584,-10.04237747,-2.750250578
0.33200413,-10.00648499,-2.740679264
0.389431894,-10.02802086,-2.769393206
0.401396006,-10.01844978,-2.716751099
0.497108907,-9.994521141,-2.697608471
0.506680191,-9.965806961,-2.640180588
0.544965386,-9.924830437,-2.573181629
0.597607434,-9.944272041,-2.546860695
0.61914283,-9.927223206,-2.513360977
0.631106973,-9.908080101,-2.472683191
0.633499801,-9.872187614,-2.427219391
0.671784937,-9.86022377,-2.350649118
0.671784937,-9.867402077,-2.338685036
0.664606512,-9.900901794,-2.374577284
0.623928487,-9.927223206,-2.355434895
0.604785919,-9.903294563,-2.417648077
0.626321316,-9.876974106,-2.506182671
0.621535659,-9.821938515,-2.618645191
0.633499801,-9.79083252,-2.664108992
0.633499801,-9.776474953,-2.735893488
0.623928487,-9.76211834,-2.858226538
0.602393091,-9.726225853,-2.968296528
0.564107955,-9.759725571,-3.107080221
0.511465848,-9.819545746,-3.121437073
0.506680191,-9.869794846,-3.126222849
0.556929469,-9.86022377,-3.154936552
0.604785919,-9.817152977,-3.166900873
0.700498819,-9.68315506,-3.12383008
0.79621172,-9.606584549,-3.075973511
0.892223716,-9.515657425,-3.095116138
0.908973515,-9.470193863,-3.111865759
0.940080226,-9.494122505,-3.099901676
0.956829965,-9.532406807,-3.133401155
0.937687397,-9.518050194,-3.202793121
0.913759172,-9.5252285,-3.324826956
0.899402201,-9.477372169,-3.466302633
0.863509893,-9.451051712,-3.581158161
0.880259633,-9.443872452,-3.621836185
0.908973515,-9.463015556,-3.652942896
0.906580687,-9.494122505,-3.585943937
0.918544769,-9.479764938,-3.571586847
0.906580687,-9.506086349,-3.495016575
0.865902722,-9.498908043,-3.447160006
0.841675341,-9.508479118,-3.375076294
0.829711258,-9.506086349,-3.332005501
0.808175862,-9.484550476,-3.231507063
0.836889744,-9.503693581,-3.181257725
0.865902722,-9.518050194,-3.114258766
0.923330426,-9.508479118,-3.083152056
0.964008451,-9.515657425,-3.0448668
1.026221752,-9.491728783,-3.01376009
1.095613718,-9.436694145,-2.968296528
1.208076358,-9.396016121,-2.903690338
1.294217944,-9.347860336,-2.910868645
1.399502158,-9.307182312,-2.968296528
1.50269258,-9.259325981,-3.028116941
1.576870084,-9.247362137,-3.080759048
1.670190215,-9.158827782,-3.061616659
1.737189293,-9.110971451,-3.07836628
1.828116536,-9.077471733,-3.059223652
1.887937069,-9.055936813,-3.047259569
1.942971945,-9.032008171,-3.164507866
1.991127491,-8.948259354,-3.186043262
1.957328916,-8.88604641,-3.142972469
1.954936147,-8.821439743,-3.066402197
1.976471543,-8.751749039,-2.915654421
2.012662888,-8.687142372,-2.788535595
2.070090771,-8.639286041,-2.70000124
2.08923316,-8.579465866,-2.66650176
2.108375788,-8.574680328,-2.628216505
2.161017895,-8.553144455,-2.625823736
2.153839588,-8.538787842,-2.628216505
2.139482498,-8.596215248,-2.575574398
2.084447622,-8.598608017,-2.573181629
2.015055656,-8.684749603,-2.57078886
1.942971945,-8.74935627,-2.601895571
1.835294962,-8.801998138,-2.601895571
1.773081541,-8.883653641,-2.599502802
1.639083505,-8.921937943,-2.63539505
1.533799291,-8.998508453,-2.66650176
1.401894927,-9.029615402,-2.656930447
1.334895968,-9.008079529,-2.745464802
1.255932808,-9.03440094,-2.82682085
1.18893373,-9.060722351,-2.843570709
1.088435173,-9.089435577,-2.920439959
1.026221752,-9.091828346,-2.973082066
0.923330426,-9.120542526,-3.011367321
0.853639484,-9.122935295,-2.985046148
0.789033294,-9.110971451,-3.035295486
0.73160553,-9.130113602,-3.042474031
0.712462962,-9.094221115,-3.095116138
0.690927565,-9.134899139,-3.135794163
0.669392109,-9.106185913,-3.21954298
0.659820855,-9.067900658,-3.296113253
0.71485579,-9.036793709,-3.396611691
0.717248559,-9.027222633,-3.478266716
0.743569613,-8.998508453,-3.59790802
0.77946198,-8.979366302,-3.751048565
0.84406817,-8.909974098,-3.868296862
0.911366344,-8.826225281,-3.99302268
0.99750793,-8.761320114,-4.16769886
1.117149115,-8.689535141,-4.299304008
1.208076358,-8.61296463,-4.387838364
1.318146229,-8.538787842,-4.514657974
1.385145187,-8.49332428,-4.529314041
1.459621787,-8.414361,-4.589134693
1.517049551,-8.378468513,-4.569992065
1.581655741,-8.33539772,-4.584349155
1.603191137,-8.333004951,-4.567599297
1.641476393,-8.316255569,-4.565206528
1.674975872,-8.266005516,-4.490729809
1.651047587,-8.227421761,-4.375874519
