accx,accy,accz
10.196369,1.8916205,1.3216472
9.492808,2.3123584,0.010687716
10.188975,0.8064246,-0.8268328
11.16421,-0.19285774,-0.89562297
11.055475,-0.44230482,-0.1521946
9.886626,-0.49848235,0.22031444
8.970307,-1.1876869,0.004031836
8.262419,-1.6751559,-0.4872775
7.8841825,-1.4867035,-0.80558187
7.7385774,-1.0021075,-0.9270924
7.5974917,-0.6285258,-1.0551056
7.5196514,-0.5805173,-1.0699687
7.4518666,-0.7112216,-1.1638981
7.6164823,-0.861587,-1.4396622
7.60727,-0.9436985,-2.0209649
7.5275617,-0.77108616,-2.0998588
7.3968673,-0.38439387,-2.4363396
7.932603,-0.115151525,-2.802595
9.3822155,0.48470137,-2.9418228
10.853107,1.5014901,-2.9406543
11.184648,1.8995309,-3.417608
10.742888,1.0860769,-4.5284123
10.278796,1.0009966,-4.716721
11.347664,0.40486908,-3.3683546
14.539795,-0.754863,-2.511029
15.300089,-1.925848,0.7421833
12.040526,-1.1575774,1.9478555
9.559511,-0.5606167,1.9453368
8.304441,-0.9943311,0.5513942
9.465208,-1.1568112,0.039877824
10.67812,-0.8418971,0.088700384
11.351188,-0.7579659,0.002681506
11.54373,-0.6826252,-0.46113282
10.632478,0.054626107,-1.2139847
9.613524,0.6288227,-1.6727904
8.556628,0.6842533,-1.852145
7.890015,0.66478366,-1.9089928
7.6027207,0.7655604,-1.7591157
7.4204454,0.9836243,-2.0923026
7.317198,1.1433654,-2.176856
7.5405574,1.3406284,-2.0737042
7.9141006,1.3312049,-1.9147676
8.176084,1.3882347,-1.8711932
8.035755,1.5094867,-2.0026443
7.4606004,1.2290299,-2.2881002
7.2537994,0.7964935,-2.3870192
8.405324,0.13837527,-2.3106153
10.769934,-0.0713951,-2.097445
12.663593,-0.5791574,-2.3682485
10.772088,-0.37951928,-3.5231924
13.04975,-1.83732,-1.4186603
16.034582,-1.12923,-1.0764618
12.97167,0.74716336,-1.6161723
11.398948,1.3745782,-0.32204887
10.110944,3.5276933,1.1719235
9.040247,3.4040186,-0.14700398
9.529057,1.1404828,-1.2466129
10.80282,-0.592019,-1.4669465
10.908452,-1.1664455,-0.59424084
10.069936,-1.0575763,0.049416326
9.241724,-1.275985,-0.010802638
8.240861,-1.4008857,-0.43525627
7.876742,-1.0104105,-1.0957495
7.9484525,-0.36137122,-1.6334585
8.149959,-0.003055001,-1.7647372
8.258741,-0.2944102,-1.4803923
7.8705645,-0.5847119,-1.1860589
7.673292,-0.7533787,-1.4715338
7.555526,-0.84697276,-1.6790346
7.170519,-0.91235363,-1.3510768
6.612555,-0.6310924,-1.691312
7.085391,-0.25263616,-2.6657424
8.893559,0.27862763,-2.973129
10.858729,1.3199521,-3.1079419
11.801461,1.522607,-4.1496973
11.420726,1.4556746,-5.327003
11.744421,1.6518651,-4.427329
13.786474,1.3147136,-4.1443825
16.291843,-0.30636206,-0.9768247
14.015427,-1.5029075,0.7585597
10.845973,-1.9668367,2.878635
8.095763,-2.3099642,2.1394205
7.4941864,-2.2023113,0.0469072
9.162878,-1.215814,0.19246508
10.779051,-0.15782577,0.19626707
11.646987,0.013924677,-0.24473529
11.112898,0.3835607,-0.73587227
10.455661,0.66666067,-1.6257875
9.350267,0.71397966,-1.8629092
8.185699,0.45022485,-1.6287563
7.8476477,-0.16276741,-1.5116893
7.633558,-0.05758534,-1.6479578
7.385729,0.504736,-1.6342725
7.1763515,1.1209557,-1.6102155
7.2381315,1.7071807,-1.892875
7.7303505,2.0257628,-2.4126754
8.066889,2.2195878,-2.8323884
7.864838,1.7212586,-2.6994336
7.680628,0.8556973,-2.863446
8.684219,0.17741992,-2.019557
10.063951,0.34307954,-2.142705
11.417612,0.84178215,-2.5825489
10.8791275,0.95902145,-3.6422608
10.228911,0.90041137,-3.849953
14.833775,-0.74193436,-1.1124132
15.65783,0.053285353,-1.6746197
12.652676,0.22567746,0.35008976
11.344293,0.23980324,2.043432
10.09315,1.5404676,1.4497849
10.434841,1.9687425,-0.20140982
11.114727,1.0715393,-1.2323818
11.339284,0.44064805,-0.44830948
10.245307,0.22659683,-0.18748516
9.124121,-0.37558323,-0.14006081
8.037786,-1.2618784,-0.34954387
7.225308,-1.6329988,-0.63219374
7.220893,-1.0602005,-0.82047373
7.195917,-0.33349314,-0.89591026
7.3803473,-0.37765178,-0.53644484
7.558581,-0.49800354,-0.86416316
7.6928096,-0.56937945,-0.79748946
7.864579,-0.43712378,-1.2826025
7.7918625,-0.768874,-1.8188463
7.476364,-0.94265467,-2.1878598
7.7843256,-0.83686924,-2.5153675
9.230596,-0.2360204,-2.5053406
10.97457,0.45154646,-3.260922
11.614426,1.5020839,-3.636687
10.564836,2.2106142,-5.252946
9.950934,1.5114595,-5.5423183
12.353601,0.86196053,-3.658187
16.291986,0.14217728,-3.070439
15.643475,-0.8115673,1.9864117
12.123222,-0.83073056,2.0180821
9.619903,-1.3666008,2.5282578
7.801918,-1.6914653,0.8871092
8.398486,-2.3249037,0.3061801
10.868154,-1.5182973,0.139898
12.030087,-0.68361163,0.23236206
11.300862,-0.03465846,-0.14860332
10.030996,0.7043933,-0.9932202
8.37349,1.1055753,-1.359351
7.2792635,1.1294311,-1.3613143
7.0908594,1.1015052,-1.4278827
7.051585,0.8020097,-1.4956962
7.4645176,0.6784593,-1.6161628
7.411299,0.61554927,-1.6622846
7.634228,0.8223221,-1.6445771
7.97929,1.1829368,-1.8143356
8.523817,1.7018561,-2.2026944
8.425886,1.722542,-3.0829945
8.034845,1.3408679,-2.9443128
8.320856,0.8143925,-2.3512113
9.685542,0.3148471,-2.0865276
11.407624,0.12440272,-2.2464507
11.6401205,0.45159432,-3.3103096
10.983219,0.85306364,-3.7387948
15.150011,-0.08797255,-1.7439173
14.865312,0.23748566,-2.1011515
12.0201,-0.13785814,-0.3703447
10.732383,0.84337187,1.662007
9.65143,2.4294348,0.91205674
9.776991,1.0672777,-0.14586435
10.716351,-0.12707464,-0.8473559
11.158273,-0.041544188,-0.4447469
10.139454,0.23209392,-0.37133113
9.327034,-0.25967512,-0.27563006
8.55928,-1.0682354,-0.2555092
8.021994,-1.2932425,-0.7739975
7.590635,-0.95319873,-1.1378491
7.361586,-0.5582225,-1.1354166
7.420598,-0.5376994,-0.93585515
7.2433414,-0.54803276,-0.9712415
7.253675,-0.646061,-1.2372085
7.376296,-0.77560645,-1.6027744
7.7508736,-0.7220625,-1.5545264
8.050675,-0.7724652,-2.1686008
8.732908,-0.68339133,-2.6309884
9.659617,0.19401653,-3.0074623
10.374439,1.4411179,-3.4600427
10.525973,1.9025476,-4.5778766
10.71955,1.1890275,-5.6765757
11.720384,0.71517676,-3.1820474
16.425392,1.2311463,-2.876729
16.596405,0.4327376,1.2811852
12.525237,-0.5149449,1.3581061
9.84828,-2.354621,2.1694531
8.2252035,-2.9422824,0.87011033
8.74624,-2.340284,0.52873546
9.847734,-0.795938,0.6876722
10.478176,0.08517612,0.33107978
10.366424,0.24905445,-0.65399057
9.9897785,0.6437625,-1.0968125
9.11439,1.008476,-1.2406561
7.9947567,1.2691567,-1.367951
7.707682,1.1029705,-1.0925221
7.889268,0.7230968,-1.2866727
7.7705345,0.20763475,-1.438331
7.4997125,0.070648104,-1.6924133
7.3486958,0.5071111,-1.7328371
7.7495327,0.7744476,-1.7166234
8.214066,1.3487304,-1.8506701
7.9913282,1.5750495,-2.7732134
7.2441936,1.8497698,-3.4428427
7.5972996,1.8123628,-3.5574868
9.760816,1.2678639,-3.6274836
12.171192,0.21941422,-3.2105289
11.400882,-0.5132977,-3.4263036
11.711305,-0.89022166,-2.9249387
16.014366,-1.4649354,-1.0220368
15.467385,0.3345562,-1.1164929
12.416129,0.94625556,-0.1595113
10.737956,0.78626543,0.7803278
9.671914,1.692557,0.33108935
10.634613,1.6646596,-0.5549855
11.606228,0.5460887,-1.2467949
11.009708,0.04679228,-0.7136828
9.61679,-0.026431985,-0.11328405
8.8864155,-0.5304976,0.053141702
8.337559,-1.0425216,-0.06663542
7.854878,-0.90010494,-0.57546073
7.1887436,-0.62991446,-1.2418246
6.866063,-0.49630845,-1.0821025
7.4150724,-0.4827764,-0.66378766
7.6836634,-0.3305052,-0.5937141
7.722574,-0.37294,-1.1508353
7.6498384,-0.51138234,-1.6275975
7.5369854,-0.4949198,-2.0198252
7.438699,-0.55370224,-2.5849717
7.9709773,-0.6299719,-2.6263146
9.035075,-0.10208876,-2.3617938
10.439676,0.6458886,-2.7637994
11.035115,1.3649056,-3.5879314
10.705653,1.7326647,-4.9673653
10.750454,1.8213458,-5.231216
12.797841,1.9923875,-3.6040206
16.165018,0.97159576,-2.7927406
14.801846,-0.36731842,0.27262294
11.953761,-1.6654832,1.8450006
8.936224,-2.5745904,2.3443258
7.2163444,-3.136385,0.48541003
8.504224,-2.385142,0.000775721
10.26785,-1.165689,0.2299104
11.184867,-0.3043509,0.1871308
10.771044,0.05941451,-0.39713103
10.267265,0.5911284,-1.4026383
9.269765,0.85108125,-2.0415933
8.371019,0.6980631,-2.1937878
8.084108,0.11165599,-1.8469447
8.097095,-0.004865018,-1.7480067
7.871407,0.25320122,-1.8231751
7.396675,0.6050052,-2.0597029
7.331304,1.1886158,-2.1884727
7.708468,1.6564045,-2.1351874
8.051202,2.1000404,-2.4399502
7.764118,2.3438277,-3.2114577
7.585233,1.6824151,-3.549519
8.291829,0.7861313,-2.4776251
9.769004,-0.503357,-2.1006055
11.615862,-1.2226135,-2.0916991
